Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Hampshire;78569;11411;11499;4993;12858;5240;0;3886;0;0.283;0.314;0.012;0.384;0.006;0.000;0.000;0.000
Aldridge-Brownhills;Wendy Morton;7;Black Country;70871;20806;4281;1542;15781;2163;0;2454;0;0.723;0.016;0.000;0.261;0.000;0.000;0.000;0.000
Altrincham and Sale West;Connor Rand;4;Central Manchester;74025;14253;17738;3414;10416;4814;0;2934;0;0.250;0.662;0.000;0.086;0.001;0.000;0.000;0.000
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire;71546;2903;16491;432;19616;978;0;5302;0;0.031;0.340;0.000;0.629;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;77969;25018;5333;3716;16639;3395;0;2629;0;0.672;0.048;0.020;0.257;0.002;0.000;0.000;0.000
Ashfield;Lee Anderson;8;Nottinghamshire;68929;1634;14221;317;19372;670;0;5925;0;0.007;0.204;0.000;0.787;0.000;0.000;0.001;0.000
Ashford;Unknown (Reform gain from LAB);12;Kent;76212;10142;11237;3388;15015;5273;0;3476;0;0.148;0.233;0.001;0.613;0.004;0.000;0.000;0.000
Ashton-under-Lyne;Angela Rayner;4;Eastern Manchester;71002;1519;17668;313;12838;1536;0;4791;0;0.008;0.741;0.000;0.240;0.008;0.000;0.002;0.000
Aylesbury;Unknown (CON gain from LAB);12;Buckinghamshire;79169;16060;7906;7925;13713;3777;0;2998;0;0.431;0.084;0.111;0.370;0.004;0.000;0.000;0.000
Banbury;Sean Woodcock;12;Oxfordshire;73193;12708;12925;4867;12427;4491;0;3576;0;0.357;0.325;0.012;0.301;0.004;0.000;0.000;0.000
Barking;Nesil Caliskan;11;Barking and Dagenham;79825;3856;12261;1836;8000;10641;0;3865;0;0.015;0.489;0.001;0.116;0.378;0.000;0.000;0.000
Barnsley North;Dan Jarvis;5;South Yorkshire;78267;1356;18765;358;15174;1369;0;6191;0;0.001;0.702;0.000;0.294;0.000;0.000;0.001;0.000
Barnsley South;Stephanie Peacock;5;South Yorkshire;75850;1385;16809;313;15780;1200;0;6127;0;0.002;0.555;0.000;0.440;0.000;0.000;0.002;0.000
Barrow and Furness;Michelle Scrogham;4;Cumbria;74980;10580;13922;1854;13095;3088;0;4342;0;0.145;0.471;0.000;0.383;0.000;0.000;0.001;0.000
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex;76873;11192;8269;3383;12676;5348;0;4600;0;0.416;0.121;0.002;0.443;0.016;0.000;0.001;0.000
Basildon South and East Thurrock;James McMurdock;9;Essex;72673;7829;9403;2687;15183;2553;0;5968;0;0.097;0.133;0.001;0.763;0.001;0.000;0.004;0.000
Basingstoke;Luke Murphy;12;Hampshire;78487;11875;13114;4622;12487;5917;0;3294;0;0.252;0.426;0.007;0.299;0.014;0.000;0.000;0.000
Bassetlaw;Unknown (Reform gain from LAB);8;Nottinghamshire;78173;5160;15256;1099;16159;2299;0;5856;0;0.074;0.427;0.000;0.494;0.001;0.000;0.002;0.000
Bath;Wera Hobhouse;10;Bristol area;69655;8033;8827;17256;6918;8445;0;1762;0;0.050;0.056;0.815;0.030;0.048;0.000;0.000;0.000
Battersea;Marsha de Cordova;11;Wandsworth;72767;9478;16957;5569;6370;9304;0;2213;0;0.078;0.809;0.008;0.015;0.089;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;72751;17793;6928;9855;11205;4324;0;2240;0;0.774;0.018;0.098;0.107;0.003;0.000;0.000;0.000
Beckenham and Penge;Liam Conlon;11;Bromley;76876;11198;17782;5557;10503;6646;0;2699;0;0.115;0.776;0.002;0.093;0.013;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;72478;4590;16905;2334;13012;2713;0;3688;0;0.072;0.667;0.011;0.239;0.009;0.000;0.000;0.000
Bedfordshire Mid;Blake Stephenson;9;Bedfordshire;76218;15184;11792;4997;13052;5011;0;2920;0;0.556;0.175;0.004;0.258;0.006;0.000;0.000;0.000
Bedfordshire North;Richard Fuller;9;Bedfordshire;78850;21826;7423;3662;15051;3991;0;2917;0;0.733;0.071;0.002;0.193;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;69473;4057;12410;6371;5738;10977;0;2634;0;0.008;0.587;0.037;0.025;0.342;0.000;0.000;0.000
Bethnal Green and Stepney;Unknown (Green gain from LAB);11;Tower Hamlets;81922;3373;12743;3238;4906;14133;0;6573;0;0.004;0.382;0.002;0.009;0.595;0.000;0.008;0.000
Beverley and Holderness;Graham Stuart;5;Humber area;70559;13508;10970;3456;13143;3014;0;3404;0;0.490;0.176;0.000;0.332;0.001;0.000;0.000;0.000
Bexhill and Battle;Unknown (Reform gain from CON);12;East Sussex;72209;13023;11129;4419;13937;4129;0;3111;0;0.478;0.154;0.008;0.354;0.005;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (Reform gain from LAB);11;Bexley;69470;14577;9109;2937;14759;3369;0;3058;0;0.420;0.135;0.000;0.443;0.001;0.000;0.000;0.000
Bicester and Woodstock;Calum Alexander Miller;12;Oxfordshire;74350;12696;5556;19085;8205;3736;0;2197;0;0.131;0.014;0.808;0.046;0.000;0.000;0.000;0.000
Birkenhead;Alison McGovern;4;Merseyside;78091;3102;21841;1449;11125;6130;0;3292;0;0.000;0.948;0.000;0.043;0.009;0.000;0.000;0.000
Birmingham Edgbaston;Preet Kaur Gill;7;Birmingham;71787;7712;12591;3101;9077;5803;0;2637;0;0.112;0.659;0.002;0.191;0.035;0.000;0.000;0.000
Birmingham Erdington;Paulette Hamilton;7;Birmingham;77463;2009;17383;566;14342;1916;0;3755;0;0.038;0.523;0.000;0.393;0.045;0.000;0.000;0.000
Birmingham Hall Green and Moseley;Tahir Ali;7;Birmingham;76936;3591;12355;3017;5769;10961;0;4232;0;0.036;0.369;0.008;0.061;0.513;0.000;0.002;0.010
Birmingham Hodge Hill and Solihull North;Liam Byrne;7;Birmingham;77737;3392;11004;1266;9860;5741;0;5840;0;0.048;0.381;0.001;0.368;0.164;0.000;0.033;0.004
Birmingham Ladywood;Unknown (Green gain from LAB);7;Birmingham;83693;2137;9318;1729;3494;13919;0;6861;0;0.001;0.142;0.000;0.003;0.829;0.000;0.024;0.000
Birmingham Northfield;Unknown (Reform gain from LAB);7;Birmingham;74048;5046;13782;1632;15143;2681;0;3671;0;0.056;0.398;0.000;0.541;0.004;0.000;0.001;0.000
Birmingham Perry Barr;Unknown (LAB gain from MIN);7;Birmingham;76350;3493;9112;2104;4637;6974;0;8176;0;0.028;0.429;0.003;0.062;0.210;0.000;0.266;0.001
Birmingham Selly Oak;Alistair Carns;7;Birmingham;75678;5130;14111;2699;8754;10292;0;3343;0;0.021;0.646;0.001;0.114;0.217;0.000;0.000;0.000
