Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Surrey West and Aldershot;78569;10726;11566;5275;14816;3869;0;0;1372;0.187;0.236;0.012;0.563;0.001;0;0;0
Aldridge-Brownhills;Unknown (Reform gain from CON);7;Wolverhampton and Walsall;70871;10583;5907;3299;17836;2534;0;0;1212;0.106;0.006;0;0.888;0;0;0;0
Altrincham and Sale West;Connor Rand;4;Manchester Central and Trafford;74025;11434;15151;6608;11221;4021;0;848;534;0.193;0.582;0.016;0.206;0.002;0;0;0
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire North;71546;7254;8411;3371;18930;2999;0;0;1195;0.019;0.037;0.001;0.943;0;0;0;0
Arundel and South Downs;Andrew Griffith;12;Sussex West;77969;16746;6247;9984;14693;5064;0;0;1458;0.555;0.011;0.078;0.352;0.004;0;0;0
Ashfield;Lee Anderson;8;Nottinghamshire North;68929;2783;6268;1669;22072;1567;0;5230;386;0;0.002;0;0.997;0;0;0;0
Ashford;Unknown (Reform gain from LAB);12;Kent South;76212;10402;8696;3934;16083;5030;0;0;2168;0.144;0.073;0.003;0.775;0.004;0;0;0
Ashton-under-Lyne;Unknown (Reform gain from LAB);4;Manchester East;71002;3220;8786;2457;15112;2642;0;2554;375;0.001;0.108;0.001;0.889;0;0;0;0
Aylesbury;Unknown (Reform gain from LAB);12;Buckinghamshire North;79169;9575;10322;9192;14723;3491;0;737;676;0.135;0.146;0.103;0.614;0.001;0;0;0
Banbury;Unknown (Reform gain from LAB);12;Oxfordshire;73193;9991;12459;5394;13808;3450;0;0;1817;0.154;0.328;0.013;0.503;0.001;0;0;0
Barking;Unknown (Reform gain from LAB);11;Dagenham and Redbridge;79825;2635;8137;3206;12670;5502;0;2607;1246;0.005;0.149;0.006;0.81;0.029;0;0;0
Barnsley North;Unknown (Reform gain from LAB);5;Barnsley and Sheffield West;78267;2112;9682;2571;19863;2684;0;0;1912;0;0.046;0;0.954;0;0;0;0
Barnsley South;Unknown (Reform gain from LAB);5;Barnsley and Sheffield West;75850;2017;8050;2231;20686;2386;0;0;1764;0;0.015;0;0.985;0;0;0;0
Barrow and Furness;Unknown (Reform gain from LAB);4;Cumbria;74980;9457;10401;3407;14487;2780;0;0;1374;0.13;0.194;0.002;0.674;0;0;0;0
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex South West;76873;9584;6737;3891;18003;2988;0;0;1559;0.083;0.015;0.001;0.901;0;0;0;0
Basildon South and East Thurrock;James McMurdock;9;Essex South West;72673;7237;6222;2704;18565;2516;0;0;2787;0.017;0.006;0;0.976;0;0;0;0.001
Basingstoke;Unknown (Reform gain from LAB);12;Hampshire;78487;11214;12210;4875;13099;5081;0;0;1651;0.226;0.327;0.012;0.427;0.008;0;0;0
Bassetlaw;Unknown (Reform gain from LAB);8;Nottinghamshire North;78173;9210;10151;3446;17509;2993;0;0;1220;0.071;0.088;0.001;0.839;0;0;0;0
Bath;Wera Hobhouse;10;Avon South;69655;7114;7044;15242;9149;5761;0;250;2626;0.055;0.035;0.754;0.135;0.02;0;0;0
Battersea;Marsha de Cordova;11;Lambeth and Wandsworth;72767;9073;16776;6473;6850;5227;0;505;1271;0.076;0.869;0.017;0.028;0.009;0;0;0
Beaconsfield;Joy Morrissey;12;Buckinghamshire South;72751;15416;4944;11768;11186;2710;0;0;1739;0.592;0.007;0.218;0.181;0.001;0;0;0
Beckenham and Penge;Liam Conlon;11;Croydon;76876;10077;17705;6086;11043;4736;0;0;1085;0.091;0.77;0.007;0.128;0.003;0;0;0
Bedford;Unknown (Reform gain from LAB);9;Bedfordshire;72478;5683;11525;4935;11605;3526;0;798;1571;0.031;0.446;0.017;0.502;0.004;0;0;0
Bedfordshire Mid;Unknown (Reform gain from CON);9;Bedfordshire;76218;13453;9697;5314;14289;3761;0;0;2582;0.384;0.106;0.008;0.5;0.002;0;0;0
Bedfordshire North;Richard Fuller;9;Bedfordshire;78850;15284;8873;6281;14981;4082;0;0;1270;0.488;0.067;0.012;0.432;0;0;0;0
Bermondsey and Old Southwark;Neil Coyle;11;South East London;69473;2435;10696;9060;7568;6022;0;0;1444;0.004;0.535;0.261;0.148;0.051;0;0;0
Bethnal Green and Stepney;Unknown (MIN gain from LAB);11;Hackney and Tower Hamlets;81922;1857;9135;6513;7952;7842;0;10624;412;0.004;0.28;0.082;0.179;0.152;0;0.302;0
Beverley and Holderness;Unknown (Reform gain from CON);5;East Yorkshire;70559;10514;8801;4867;15839;2513;0;0;1787;0.171;0.082;0.006;0.74;0;0;0;0
Bexhill and Battle;Unknown (Reform gain from CON);12;Sussex East;72209;11756;7878;4968;15411;3487;0;0;4035;0.274;0.052;0.011;0.661;0.002;0;0;0
Bexleyheath and Crayford;Unknown (Reform gain from LAB);11;Bexley and Bromley;69470;9651;8596;4181;15990;3070;0;0;1059;0.108;0.084;0.001;0.805;0.001;0;0;0
Bicester and Woodstock;Calum Alexander Miller;12;Oxfordshire;74350;11959;5602;15251;11543;3500;0;0;1431;0.219;0.009;0.555;0.216;0.001;0;0;0
Birkenhead;Unknown (Reform gain from LAB);4;Wirral and Chester North;78091;2418;12587;3857;14837;7710;0;0;1402;0;0.334;0.001;0.635;0.029;0;0;0
Birmingham Edgbaston;Unknown (Reform gain from LAB);7;Birmingham South;71787;5834;9550;3607;10687;3770;0;0;3294;0.056;0.374;0.008;0.548;0.009;0;0;0.005
Birmingham Erdington;Unknown (Reform gain from LAB);7;Birmingham North;77463;3761;7525;2377;14684;3109;0;0;2722;0.003;0.062;0;0.931;0.002;0;0;0
Birmingham Hall Green and Moseley;Unknown (Reform gain from LAB);7;Birmingham South;76936;2530;6525;6110;9584;5223;0;9305;395;0.016;0.127;0.094;0.479;0.056;0;0.227;0.001
Birmingham Hodge Hill and Solihull North;Unknown (Reform gain from LAB);7;Birmingham North;77737;3315;5183;2303;13340;2816;0;6700;360;0.008;0.027;0.001;0.935;0.002;0;0.025;0
Birmingham Ladywood;Unknown (MIN gain from LAB);7;Birmingham North;83693;1499;6562;3873;8255;5769;0;8530;326;0.006;0.169;0.025;0.445;0.108;0;0.246;0
Birmingham Northfield;Unknown (Reform gain from LAB);7;Birmingham South;74048;5489;8747;3030;15292;3529;0;0;1365;0.012;0.101;0;0.887;0;0;0;0
Birmingham Perry Barr;Unknown (Reform gain from MIN);7;Birmingham North;76350;2238;5304;3311;10781;3915;0;8935;998;0.009;0.054;0.009;0.713;0.018;0;0.194;0.001
Birmingham Selly Oak;Unknown (Reform gain from LAB);7;Birmingham South;75678;4520;10497;3645;11686;4915;0;0;3236;0.018;0.382;0.004;0.582;0.012;0;0;0.001
Birmingham Yardley;Unknown (Reform gain from LAB);7;Birmingham South;73203;2779;5868;4080;11533;2748;0;7598;360;0.013;0.058;0.022;0.806;0.005;0;0.095;0
Bishop Auckland;Unknown (Reform gain from LAB);3;County Durham;70745;5853;10062;2688;17662;2412;0;0;1159;0.006;0.093;0;0.9;0;0;0;0
